@relation 'test_data_set (1)'

@attribute year numeric
@attribute session {Maha, Yala}
@attribute urea(kg) numeric
@attribute TSP(kg) numeric
@attribute MOP(kg) numeric
@attribute 'Zink sulphate(kg)' numeric
@attribute seed {AT362,AT354,AT352,AT350,AT450,AT373,AT459}
@attribute soil {normal,lawana,waguru}
@attribute harvest(kg) numeric
@attribute area {Tissamaharama,Hambantota,Suriyawewa,Agunukolapalassa,Ambalantota,Lunama,Tangalle,Weerakatiya,Beliatta,Lunugamwehera}
@attribute district {Hambantota}
@attribute rainfall(mm) numeric
@attribute irrigated/rainfed {irrigated,rainfed}
@attribute 'organic matter(tons)' numeric

@data
2010,Yala,97,45,35,5,AT362,normal,115,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,26,30,5,AT362,normal,121,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,45,18,5,AT362,normal,121,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,92,29,30,5.2,AT362,normal,131,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,45,23,5,AT362,normal,121,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,88,45,35,5,AT362,normal,130,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,45,35,4.7,AT362,normal,121,Tissamaharama,Hambantota,620,irrigated,2.1
2010,Yala,96,45,35,5,AT362,normal,121,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,45,35,5,AT362,lawana,115,Tissamaharama,Hambantota,620,irrigated,2
2010,Yala,97,45,35,5,AT362,normal,131,Tissamaharama,Hambantota,620,irrigated,2.7
2010,Yala,72,45,30,5,AT362,normal,130,Tissamaharama,Hambantota,620,irrigated,2.4
2010,Yala,82,35,30,4.9,AT362,lawana,115,Tissamaharama,Hambantota,482,irrigated,2.4
2010,Yala,97,30,30,4.8,AT362,lawana,115,Tissamaharama,Hambantota,620,irrigated,2.4
2010,Yala,87,29,30,5,AT362,lawana,121,Tissamaharama,Hambantota,620,irrigated,2.7
2010,Yala,88,27,30,5,AT362,lawana,122,Tissamaharama,Hambantota,620,irrigated,2.7
2010,Yala,78,23,30,5,AT362,lawana,72,Tissamaharama,Hambantota,482,irrigated,2.7
2010,Yala,92,45,35,5,AT362,lawana,121,Tissamaharama,Hambantota,381,irrigated,2.7
2010,Yala,86,45,30,5.1,AT362,normal,72,Tissamaharama,Hambantota,381,rainfed,2.1
2010,Yala,86,45,45,5.1,AT362,normal,72,Tissamaharama,Hambantota,620,rainfed,2.7
2010,Yala,97,45,29,5.2,AT362,normal,115,Tissamaharama,Hambantota,620,rainfed,2.6
2010,Yala,97,35,29,4.8,AT362,normal,97,Tissamaharama,Hambantota,620,rainfed,2.7
2010,Yala,70,45,29,4,AT362,normal,97,Tissamaharama,Hambantota,459,rainfed,2
2010,Yala,78,29,45,5.2,AT362,normal,72,Tissamaharama,Hambantota,459,rainfed,2
2010,Yala,70,45,27,4.7,AT354,lawana,72,Tissamaharama,Hambantota,459,rainfed,2
2010,Yala,52,27,45,4.6,AT354,normal,72,Tissamaharama,Hambantota,620,rainfed,2.4
2010,Yala,65,30,30,5.1,AT354,lawana,112,Tissamaharama,Hambantota,620,rainfed,2.4
2010,Yala,60,35,35,5,AT362,normal,113,Tissamaharama,Hambantota,620,rainfed,2.4
2010,Yala,97,35,35,5,AT352,lawana,102,Tissamaharama,Hambantota,620,rainfed,2.4
2010,Yala,77,26,35,5.1,AT350,normal,130,Tissamaharama,Hambantota,620,rainfed,2.4
2010,Yala,79,27,31,4.9,AT362,normal,72,Tissamaharama,Hambantota,620,rainfed,2.7
2010,Yala,97,27,32,4.9,AT354,normal,72.5,Tissamaharama,Hambantota,620,rainfed,2.1
2010,Yala,82,29,35,4.6,AT450,normal,114,Tissamaharama,Hambantota,482,rainfed,2.3
2010,Yala,97,45,31,4.7,AT354,normal,115,Tissamaharama,Hambantota,620,rainfed,2.1
2010,Yala,97,45,45,4.9,AT354,normal,105,Tissamaharama,Hambantota,620,rainfed,2.7
2010,Yala,76,31,35,5,AT362,normal,72,Tissamaharama,Hambantota,459,rainfed,2.7
2010,Yala,78,45,45,4.8,AT362,normal,114,Hambantota,Hambantota,426,irrigated,2.7
2010,Yala,89,23,27,4.8,AT354,normal,112,Hambantota,Hambantota,426,irrigated,2.7
2010,Yala,97,34,35,4,AT354,normal,121,Hambantota,Hambantota,426,irrigated,2.7
2010,Yala,87,32,26,4.8,AT362,normal,115,Hambantota,Hambantota,426,irrigated,2.7
2010,Yala,82,32,35,4.8,AT362,normal,115,Hambantota,Hambantota,426,irrigated,2.7
2010,Yala,83,45,35,4.6,AT354,lawana,72,Hambantota,Hambantota,620,irrigated,2.7
2010,Yala,97,29,45,5,AT354,lawana,112.8,Hambantota,Hambantota,620,irrigated,2.7
2010,Yala,75,30,45,5,AT354,lawana,123,Hambantota,Hambantota,620,irrigated,2.7
2010,Yala,76,27,45,5,AT362,lawana,130,Hambantota,Hambantota,620,irrigated,2.2
2010,Yala,79,45,29,5.1,AT362,lawana,118,Hambantota,Hambantota,381,irrigated,2.2
2010,Yala,71,30,45,5.2,AT362,lawana,105,Hambantota,Hambantota,381,irrigated,2.2
2010,Yala,68,35,32,4.8,AT354,normal,72,Suriyawewa,Hambantota,459,rainfed,2.2
2010,Yala,91,35,45,4.2,AT354,normal,97,Suriyawewa,Hambantota,459,rainfed,2.2
2010,Yala,97,26,32,5.2,AT362,normal,97,Suriyawewa,Hambantota,459,rainfed,2.2
2010,Yala,87,29,34,4.7,AT362,normal,78,Suriyawewa,Hambantota,459,rainfed,2.2
2010,Yala,82,30,32,5,AT362,normal,88,Suriyawewa,Hambantota,459,rainfed,2.1
2010,Yala,81,45,31,5.2,AT362,normal,95,Suriyawewa,Hambantota,459,rainfed,2.1
2010,Yala,71,45,45,5,AT362,normal,91,Suriyawewa,Hambantota,620,rainfed,2.1
2010,Yala,75,35,45.5,5,AT354,normal,79,Suriyawewa,Hambantota,459,rainfed,2.1
2010,Yala,74,35,31,5,AT354,normal,97,Suriyawewa,Hambantota,620,rainfed,2.1
2010,Yala,70,30,29,4.9,AT354,normal,82,Suriyawewa,Hambantota,620,rainfed,2
2010,Yala,77,45,35,5.2,AT362,normal,97,Suriyawewa,Hambantota,459,rainfed,2
2010,Yala,79,31,27,4.8,AT362,normal,97,Suriyawewa,Hambantota,620,rainfed,2
2010,Yala,97,45,26,5,AT362,normal,92,Suriyawewa,Hambantota,620,rainfed,2.1
2010,Yala,97,45,45,5,AT362,normal,89,Agunukolapalassa,Hambantota,381,rainfed,2.1
2010,Yala,95,45,45,5,AT362,normal,97,Agunukolapalassa,Hambantota,381,rainfed,2.1
2010,Yala,94,27,29,4.9,AT362,normal,95,Agunukolapalassa,Hambantota,381,rainfed,2.1
2010,Yala,92,35,45,4.9,AT354,normal,72,Agunukolapalassa,Hambantota,935,rainfed,2.1
2010,Yala,97,45,31,4.9,AT354,normal,104,Agunukolapalassa,Hambantota,459,rainfed,2.1
2010,Yala,89,35,32,4.8,AT362,normal,101,Agunukolapalassa,Hambantota,459,rainfed,2.1
2010,Yala,97,45,35,5.2,AT362,normal,97,Agunukolapalassa,Hambantota,459,rainfed,2.3
2010,Yala,74,29,34,4.7,AT354,normal,78,Agunukolapalassa,Hambantota,459,rainfed,2.3
2010,Yala,97,29,32,5.2,AT354,normal,77,Agunukolapalassa,Hambantota,381,rainfed,2.2
2010,Yala,71,31,45,4.9,AT362,normal,76,Agunukolapalassa,Hambantota,381,rainfed,2.7
2010,Yala,70,45,35,5,AT352,normal,79,Agunukolapalassa,Hambantota,381,irrigated,2.7
2010,Yala,65,30,45,5,AT354,normal,97,Agunukolapalassa,Hambantota,381,rainfed,2.7
2010,Yala,78,45,45,5,AT362,normal,72,Agunukolapalassa,Hambantota,381,rainfed,2.7
2010,Yala,79,29,45,4.8,AT354,normal,101,Agunukolapalassa,Hambantota,459,irrigated,2.7
2010,Yala,77,29,35,5.2,AT362,normal,105,Agunukolapalassa,Hambantota,381,irrigated,2.7
2010,Yala,75,45,30,4.7,AT362,normal,92,Agunukolapalassa,Hambantota,381,irrigated,2.7
